poi_id,name,amenity,main_category,sub_category,priority_level,latitude,longitude,final_status,map_ready,rule1_reason,rule2_reason,rule3_reason,rule4_reason,rule5_reason
BLR_000001,State Bank of India,bank,Financial Services,Bank,2,12.8952509,77.6019087,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000002,,school,Education,School,2,12.8772119,77.6025994,FAIL,NO,Missing name,Coordinates within boundary,Cannot check — name missing,Cannot check — name missing,Valid amenity category
BLR_000003,Snack Corner,restaurant,Food & Beverage,Restaurant,3,12.8984603,77.6010688,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000004,,restaurant,Food & Beverage,Restaurant,3,12.8973119,77.6015666,FAIL,NO,Missing name,Coordinates within boundary,Cannot check — name missing,Cannot check — name missing,Valid amenity category
BLR_000005,ICICI Bank,bank,Financial Services,Bank,2,12.9185225,77.6518418,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000006,Karnataka Bank,bank,Financial Services,Bank,2,12.9189346,77.65183,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000007,Angel Heart Montessori Play School,school,Education,School,2,12.9187503,77.6518327,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000008,Bank of Baroda,bank,Financial Services,Bank,2,12.917181,77.6493619,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000009,HDFC Bank,bank,Financial Services,Bank,2,12.9185253,77.6704998,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000010,Clinic,hospital,Healthcare,Hospital,1,12.9134182,77.6774852,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000011,DCP Bangalore North Traffic Police,police,Emergency Services,Police Station,1,13.0181973,77.5581675,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000012,Citibank,atm,Financial Services,ATM,2,12.9309141,77.5850854,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000013,ICICI Bank,bank,Financial Services,Bank,2,12.9331091,77.5835191,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000014,Shanti Hospital,hospital,Healthcare,Hospital,1,12.9235041,77.5857517,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000015,Jayanagar 4th Block Police Station,police,Emergency Services,Police Station,1,12.9285653,77.5813657,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000016,State Bank of India,bank,Financial Services,Bank,2,12.9365346,77.627846,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000017,Bharat Petroleum,fuel,Transport & Mobility,Fuel Station,2,12.9365895,77.5804447,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000018,Sukh Sagar,restaurant,Food & Beverage,Restaurant,3,12.9333646,77.6230728,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000019,Apollo Hospital,hospital,Healthcare,Hospital,1,12.9263714,77.6765455,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000020,,pharmacy,Healthcare,Pharmacy,1,12.9314045,77.5924636,FAIL,NO,Missing name,Coordinates within boundary,Cannot check — name missing,Cannot check — name missing,Valid amenity category
BLR_000021,Canara Bank,bank,Financial Services,Bank,2,12.9309193,77.5837775,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000022,State Bank of India,bank,Financial Services,Bank,2,12.9289702,77.5839921,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000023,Citibank ATM Jayanagar 7th Block,atm,Financial Services,ATM,2,12.9238284,77.5763354,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
BLR_000024,ICICI Bank,bank,Financial Services,Bank,2,12.9353555,77.6148616,PASS,YES,Name present,Coordinates within boundary,Name length acceptable,Name is not numeric,Valid amenity category
